,location,Starbucks,Whole Foods,Movie Theater,Equinox
485,"(40.7278952, -73.9998294)",4,0,3,2
486,"(40.7343409, -73.859014)",1,0,0,0
487,"(40.8374911, -73.9456039)",1,0,0,0
488,"(40.8915963, -73.8989828)",1,0,0,0
489,"(40.8409736, -73.8456248)",0,0,0,0
490,"(40.6765364, -73.8351774)",1,0,0,0
491,"(40.7772579, -73.9476695)",2,0,0,0
492,"(40.5075446, -74.2461088)",0,0,0,0
493,"(40.7645123, -73.7595302)",0,0,0,0
494,"(40.5501403, -74.1810379)",0,0,0,0
495,"(40.7814599, -73.9806864)",4,0,2,2
496,"(40.5763909, -74.1631382)",1,0,0,0
497,"(40.7814599, -73.9806864)",4,0,2,2
498,"(40.5763909, -74.1631382)",1,0,0,0
499,"(40.6898026, -73.836542)",0,0,0,0
500,"(40.6275175, -74.1233766)",0,0,0,0
501,"(40.669692, -73.8003434)",0,0,0,0
502,"(40.576751, -73.8398387)",0,0,0,0
503,"(40.5853532, -73.8227113)",0,0,0,0
504,"(40.6781418, -73.9250576)",0,0,0,0
505,"(40.6479766, -73.8936697)",0,0,0,0
506,"(40.622324, -73.9695073)",0,0,0,0
507,"(40.5294592, -74.1903024)",0,0,0,0
508,"(40.7562792, -73.8758052)",0,0,0,0
509,"(40.8876529, -73.909649)",1,0,0,0
510,"(40.6733809, -73.9732475)",1,0,0,0
511,"(40.6895034, -73.8684501)",0,0,0,0
512,"(40.7092156, -73.7912209)",0,0,0,0
513,"(40.8985084, -73.902753)",0,0,0,0
514,"(40.7646585, -73.780903)",0,0,0,0
515,"(40.6095856, -73.9253159)",1,0,0,0
516,"(40.7474926, -74.0072666)",0,0,0,1
517,"(40.7386816, -73.7202723)",0,0,0,0
518,"(40.8817944, -73.8617772)",0,0,0,0
519,"(40.6479387, -74.0852701)",0,0,0,0
520,"(40.8147819, -73.8265252)",0,0,0,0
521,"(40.7084501, -73.7316272)",0,0,0,0
522,"(40.7075029, -74.011653)",10,1,1,1
523,"(40.711175, -73.957086)",1,0,1,0
524,"(40.7185648, -73.9422548)",0,0,0,0
525,"(40.6468782, -74.0136737)",0,0,0,0
526,"(40.6087059, -73.9290715)",0,0,0,0
527,"(40.624169, -74.010925)",0,0,0,0
528,"(40.5607533, -73.9207539)",0,0,0,0
529,"(40.6793322, -73.8130504)",0,0,0,0
530,"(40.6094348, -73.9777343)",0,0,0,0
531,"(40.8056419, -73.9229736)",0,0,0,0
532,"(40.5745179, -74.0068304)",0,0,0,0
533,"(40.6674344, -73.8479327)",0,0,0,0
534,"(40.8616602, -73.8421016)",0,0,0,0
535,"(40.7365353, -73.7913358)",0,0,1,0
536,"(40.7873388, -73.7794685)",0,0,0,0
537,"(40.7267837, -73.8587799)",1,0,0,0
538,"(40.7595774, -73.964779)",6,1,2,2
